adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tipo,origin_country,original_name,first_air_date,name,media_type,gender,known_for_department,profile_path
False,/4BtL2vvEufDXDP4u6xQjjQ1Y2aT.jpg,"[28, 80, 53]",1419406,zh,捕风追影,A polícia de Macau remove o policial que é especialista em rastrear a aposentadoria para ajudar a capturar um grupo perigoso de ladrões profissionais.,501.8155,/uLmjQTgqXtuXRPOWfHB4vOmbgzt.jpg,2025-08-16,A Sombra Do Perigo,False,6.4,99.0,Filme (Popular),,,,,,,,
False,/tQMlHruS4pU2PKLf9CgWwkFR399.jpg,"[28, 12, 878]",1033462,zh,749局,,499.7803,/xW640PVBXLlzhrkQnAcvWNsehIO.jpg,2024-10-01,749局,False,5.387,31.0,Filme (Popular),,,,,,,,
False,/93mQVskuy8kZOXPoLve8P2E5zdD.jpg,"[28, 35]",1363123,en,The Family Plan 2,"Agora que os dias de assassino de Dan ficaram para trás, tudo o que ele quer no Natal é passar um tempo de qualidade com os filhos. Mas quando descobre que a filha tem seus próprios planos, ele marca uma viagem em família para Londres, colocando todos na mira de um inimigo inesperado.",416.9137,/aLgvLNWETZ2wtPzU3E7lavEpCJw.jpg,2025-11-11,Plano em Família 2,False,6.777,157.0,Filme (Popular),,,,,,,,
False,/zEsHEpCGZwGg3M2b0oSZuaPLwBh.jpg,"[878, 28]",1309012,en,Altered,"Num presente alternativo, humanos geneticamente aprimorados dominam a sociedade. Os párias Leon e Chloe lutam por justiça contra políticos corruptos que exploram a disparidade genética, arriscando tudo para desafiar o sistema opressor.",330.9811,/6QlAcGRaUrgHcZ4WTBh5lsPnzKx.jpg,2025-09-18,Altered,False,6.8,29.0,Filme (Popular),,,,,,,,
False,/hpXBJxLD2SEf8l2CspmSeiHrBKX.jpg,"[18, 27, 14]",1062722,en,Frankenstein,"Dr. Victor Frankenstein, um cientista brilhante, mas egoísta, dá vida a uma criatura em um experimento monstruoso que acaba levando à ruína tanto do criador quanto de sua trágica criação.",275.5065,/cXsMxClCcAF1oMwoXZvbKwWoNeS.jpg,2025-10-17,Frankenstein,False,7.772,1855.0,Filme (Popular),,,,,,,,
False,/7FDVhmCur4LMOfnXMteiSCtsdOb.jpg,"[28, 12, 14]",1116465,zh,传说,"Um arqueólogo descobriu relíquias em uma geleira que se assemelhavam a um pingente de jade dos sonhos, o que levou ele e sua equipe a explorar as profundezas da geleira.",218.8577,/5FwRyhdnR40XMlINUR6CPu2hmqr.jpg,2024-07-05,A Lenda: Em Busca do Medalhão Sagrado,False,6.745,100.0,Filme (Popular),,,,,,,,
False,/zpEWFNqoN8Qg1SzMMHmaGyOBTdW.jpg,"[28, 53, 80]",1054867,en,One Battle After Another,"Bob, um revolucionário fracassado, vive chapado e em um estado de paranoia, sobrevivendo isolado com Willa, sua filha espirituosa e independente. Quando seu perverso arqui-inimigo ressurge após 16 anos e ela desaparece, o ex-radical corre para encontrá-la, pai e filha tendo que enfrentar as consequências do passado dele.",199.2569,/2peYXW6CoruehDnKJGMjl2NuaNB.jpg,2025-09-23,Uma Batalha Após a Outra,False,7.5,1629.0,Filme (Popular),,,,,,,,
False,/l8pwO23MCvqYumzozpxynCNfck1.jpg,"[14, 12, 10749]",967941,en,Wicked: For Good,"Elphaba, agora demonizada como a Bruxa Má do Oeste, vive no exílio, escondida na floresta de Oz, e tenta desesperadamente expor a verdade que conhece sobre o Mágico. Enquanto isso, Glinda se tornou o glamouroso símbolo da bondade para todo o reino de Oz e desfruta das vantagens da fama e da popularidade. Quando uma multidão enfurecida se ergue contra a Bruxa Má, Glinda e Elphaba vão precisar se unir uma última vez.",207.2776,/dtEQlBNKMlT2vIoRFkPSErZBKQg.jpg,2025-11-19,Wicked: Parte II,False,6.772,228.0,Filme (Popular),,,,,,,,
False,,[],1481331,en,Nahual,,167.5356,/gQZn4Rx3LpIBnFunH1AKxAMYYd9.jpg,2025-02-06,Nahual,False,3.25,8.0,Filme (Popular),,,,,,,,
False,/zmfaCjc4MNUWgEztT3pOOyMSMBw.jpg,"[28, 80, 53]",1426968,es,Ya no quedan junglas,,190.3085,/pzKeASTj4HitqVXB1cdvswmMV50.jpg,2025-09-26,Ya no quedan junglas,False,6.4,9.0,Filme (Popular),,,,,,,,
False,/eMBYlgFTHfZaTz96eJxlkeMsKo9.jpg,"[16, 28]",1539104,ja,劇場版 呪術廻戦「渋谷事変 特別編集版」×「死滅回游 先行上映」,"Yuji Itadori, acompanhado por seus colegas de classe e outros feiticeiros jujutsu de alto nível, entra na briga em um confronto sem precedentes de maldições: o Incidente de Shibuya. No rescaldo, dez colônias em todo o Japão são transformadas em antros de maldições em um plano orquestrado por Noritoshi Kamo, o feiticeiro mais perverso da história.",163.6498,/sa646tMUGfCdOvwnHvzqycxzSoB.jpg,2025-11-07,JUJUTSU KAISEN: Execução,False,3.9,31.0,Filme (Popular),,,,,,,,
False,/iZLqwEwUViJdSkGVjePGhxYzbDb.jpg,"[878, 53]",755898,en,War of the Worlds,"Will Radford é um renomado analista de cibersegurança do Departamento de Segurança Interna dos Estados Unidos, encarregado de rastrear possíveis ameaças à segurança nacional por meio de um programa de vigilância em massa. No entanto, um ataque inesperado por uma entidade desconhecida o leva a suspeitar que o governo esteja escondendo algo dele… e do restante do mundo.",175.342,/hhskI8zwPqzE3wWA3gDNSCvF22z.jpg,2025-07-29,A Guerra dos Mundos,False,4.292,753.0,Filme (Popular),,,,,,,,
False,/iYxzsEBJnFzcgX0amOD6NcaCuPz.jpg,"[28, 878, 12]",1242898,en,Predator: Badlands,"No futuro, em um planeta remoto, um jovem Predador, rejeitado por seu clã, encontra em Thia uma aliada improvável e embarca em uma jornada traiçoeira em busca do adversário supremo.",173.7317,/7AYPGnLTmU6zDtMMAWqeUkCi7Tw.jpg,2025-11-05,Predador: Terras Selvagens,False,7.416,441.0,Filme (Popular),,,,,,,,
False,/kyp7PSCKPZKGosthRbjfXPm8gJg.jpg,"[53, 80, 28]",1433719,en,High Ground,"Quando um misterioso prisioneiro chega à sua prisão, um xerife de uma cidade fronteiriça enfrenta a ira de um cartel brutal neste thriller repleto de ação.",167.7227,/7aEZwHKgvwhZDKICnS9AJqDJUbb.jpg,2025-03-17,High Ground: Cerco Fechado,False,5.8,30.0,Filme (Popular),,,,,,,,
False,/5lQ4euO30sDin5nCifvi0vURFNd.jpg,"[28, 35, 10751]",1248226,en,Playdate,"Quando o contador desempregado Brian leva seu filho para brincar com o filho de Jeff, pai que fica em casa, ele espera um dia tranquilo. Em vez disso, eles acabam perseguidos por mercenários, e Brian — totalmente despreparado — precisa sobreviver a um obstáculo absurdo atrás do outro. A vida de pai de família vira um caos de filme de ação nesta aventura hilária.",141.5693,/auLOTlulof19GSPrNomyG7myfzN.jpg,2025-11-05,Um Dia Fora de Controle,False,6.155,297.0,Filme (Popular),,,,,,,,
False,/4frrYwamVG0eXhdMTy3cpNNcCBp.jpg,"[28, 18, 80, 53]",1128650,cn,誤判,Um jovem pobre é injustamente acusado de tráfico de drogas após ser enganado. Um ex-promotor investiga o caso e descobre o esquema de uma equipe de advogados corruptos.,130.8988,/2tH6utnYvlTpGvbQCs5FdeQIKFp.jpg,2024-12-08,The Prosecutor,False,6.727,143.0,Filme (Popular),,,,,,,,
False,/5h2EsPKNDdB3MAtOk9MB9Ycg9Rz.jpg,"[16, 10751, 35, 12, 9648]",1084242,en,Zootopia 2,Os detetives Judy Hopps e Nick Wilde se encontram na trilha sinuosa de um réptil misterioso que chega a Zootopia e vira a metrópole dos mamíferos de cabeça para baixo.,187.9041,/fthvYnjERbXt3ILjLjHpPNd5IVJ.jpg,2025-11-26,Zootopia 2,False,6.2,22.0,Filme (Popular),,,,,,,,
False,/sUoPlzchsCECqpm3ZmDPeL8QKDK.jpg,"[28, 12, 27]",1084222,en,Operation Blood Hunt,"Um grupo de militares é enviado a uma ilha do Pacífico para investigar o desaparecimento de fuzileiros, possivelmente capturados pelo Exército Imperial Japonês. No entanto, o grupo descobre que os fuzileiros foram massacrados por lobisomens e terão que lutar contra eles se quiserem sobreviver.",123.0274,/5Po7cBJ7YWLE3HbkoJKZyCJ4ESq.jpg,2024-12-12,Caçada Sangrenta,False,6.75,46.0,Filme (Popular),,,,,,,,
False,/1RgPyOhN4DRs225BGTlHJqCudII.jpg,"[16, 28, 14, 53]",1311031,ja,劇場版「鬼滅の刃」無限城編 第一章 猗窩座再来,"Enquanto os membros dos caçadores e os Hashira participavam de um rigoroso programa de fortalecimento coletivo, conhecido como Treinamento dos Hashira, em preparação para a batalha final contra os demônios, Muzan Kibutsuji aparece na Mansão Ubuyashiki. Com a vida do líder da organização em risco, Tanjiro e os Hashira correm até o quartel-general, mas acabam sendo lançados, pelas mãos de Muzan, em uma queda profunda rumo a um espaço misterioso para um confronto final, o Castelo Infinito.",130.6585,/c55sXCaQBj3vuHqZe62tv90xCQS.jpg,2025-07-18,Demon Slayer: Kimetsu no Yaiba Castelo Infinito,False,7.595,575.0,Filme (Popular),,,,,,,,
